Format,AiM CSV File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,LoggerTemp,External Voltage,RPM,F Heave,F Roll,R Heave,R Roll,InlineAcc,LateralAcc,VerticalAcc,RollRate,PitchRate,YawRate,Luminosity,Inverter Enable,D4 Gate Driver B,D3 Module C,D1 Control Board,D4 Torque Shudde,D3 Motor Tempera,D2 Motor Speed,D4 DC Bus Curren,D1 Phase A Curre,D3 Phase C Curre,D2 Phase B Curre,D4 VBC Vq Voltag,D3 VAB Vd Voltag,D2 Output Voltag,D1 DC Bus Voltag,D4 Iq,D3 Id,D2 Flux Feedback,D1 Flux Command,D7 Direction Com,D6 Inverter Enab,D7 BMS Torque Li,D1 Commanded Tor,D2 Torque Feedba,D4 Iq Command,D3 Id Command,Fast Torque Comm,Fast Torque Feed,Fast Motor Speed,Fast DC Bus Volt,Inverter Enable dup 1,Speed Mode Enabl,Direction Comman,Torque Command,Inverter Dischar,Torque Limit Com,Current,Voltage,RDTActive,D3 HV Input Current,SteeringWheelPos,BrakeLightActive,TSAL Active,BrakeSensor1,BrakeSensor2,SpeedFrontRight,SpeedRearLeft,SpeedFrontLeft,SpeedRearRight,SpeedFrontRightMph,SpeedRearLeftMph,SpeedFrontLeftMph,SpeedRearRightMph,FrontLeft,FrontRight,RearLeft,RearRight,Temperature,CoolantTemp,MotorPumpStatus1,MotorPumpStatus2,APPS1,APPS2,LV Current,LV Voltage,HeartBit,Pack Current,Pack Inst Voltag,Pack SOC,Average Temperat,Pack DCL,High Temperature,Low Temperature,High Cell Voltag,Low Cell Voltage,MultiPurpose  01,Maximum Pack Vol,Minimum Cell Vol,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS Radius,GPS Latitude,GPS Longitude,Distance on GPS Speed
s,mph, ,g,g,deg,deg,deg/s,m,mm,mph,m,deg,deg,°C,V,rpm,mm,mm,mm,mm,g,g,g,deg/s,deg/s,deg/s,%,#,°C,°C,°C,#,°C,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,Nm,Nm,#,mV,#,#,#,#,#,#,#,#,#,#,#,#,#,bar,bar,#,#,#,#,#,#,#,#,#,#,#,#,°C,°C,#,#,%,%,#,mV,#,A,mV,%,°C,#,°C,°C,mV,mV,#,mV,mV,mph, ,g,g,deg,deg,deg/s,m,mm,m,deg,deg,m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2812,11.384,0,12.1641,-3.5332,9.6562,-2.791,-0.007,-0.0016,-0.9814,2.0645,-0.0113,5.3398,107.5,0,39.4,35.5,38.8,0,39.8,164,0,1,0.5,0.8,9.6,0.5,1.1,10.3,1.9,0,-18.542,0.034,1,0,0,0,1,0,0,0,0.1,165,10.2,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-1.91,-1.78,1.49,17570,0,0,355999.9688,74.5,24,163,36,12,14.6,4.1,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0
0.05,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2812,11.384,0,12.1641,-3.5332,9.6562,-2.791,-0.0008,-0.0083,-0.9961,1.9944,-0.1052,5.2977,107.5,0,39.4,35.5,38.8,0,39.8,164,0,1,0.5,0.8,9.6,0.5,1.1,10.3,1.9,0,-18.542,0.034,1,0,0,0,1,0,0,0,0.1,165,10.2,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-1.91,-1.78,1.49,17570,0,0,355999.9688,74.5,24,163,36,12,14.6,4.1,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0.0805
0.1,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2812,11.384,0,12.1641,-3.5332,9.6562,-2.791,-0.0004,-0.0116,-1.0059,1.8929,-0.2361,5.2396,107.5,0,39.4,35.5,38.8,0,39.8,164,0,1,0.5,0.8,9.6,0.5,1.1,10.3,1.9,0,-18.542,0.034,1,0,0,0,1,0,0,0,0.1,165,10.2,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-1.91,-1.78,1.49,17570,0,0,355999.9688,74.5,24,163,36,12,14.6,4.1,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0.161
0.15,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2812,11.384,0,12.1641,-3.5332,9.6562,-2.791,0.0001,-0.009,-0.9912,1.8495,-0.2833,5.1516,107.5,0,39.4,35.5,38.8,0,39.8,164,0,1,0.5,0.8,9.6,0.5,1.1,10.3,1.9,0,-18.542,0.034,1,0,0,0,1,0,0,0,0.1,165,10.2,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-1.91,-1.78,1.49,17570,0,0,355999.9688,74.5,24,163,36,12,14.6,4.1,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0.2414
0.2,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2812,11.384,0,12.1562,-3.543,9.5922,-2.7949,-0.0018,-0.0142,-0.9902,1.8441,-0.201,4.9006,107.5,0,39.4,35.5,38.8,0,39.8,165.3529,0,-0.0373,-0.4471,-0.2824,5.1804,4.7392,1.1451,10.3902,0.5922,1.2176,-18.542,0.034,1,0,0,0,0.3088,0,0,0,-0.2355,165.8387,10.1581,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-1.9423,-1.8365,1.5847,17586.8145,0,0,355999.9688,74.5,24,163,36,12,14.6,4.1,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0.3219
0.25,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2812,11.384,0,12.1734,-3.5691,9.5844,-2.7938,-0.0026,-0.0216,-1.0024,1.7878,-0.0975,4.5613,107.5,0,39.4,35.5,38.8,0,39.8,166.8235,0,-1.1647,-1.4765,-1.4588,0.3765,9.3471,1.1941,10.4882,-0.8294,2.5412,-18.542,0.034,1,0,0,0,-0.4265,0,0,0,-0.6656,166.914,10.1043,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-1.979,-1.9007,2.0581,17670.8848,0,0,355999.9688,74.5,24,163,36,12,14.6337,4.0663,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0.4024
0.3,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2812,11.384,0,12.1672,-3.5453,9.6172,-2.7883,-0.0023,-0.0267,-1.001,1.727,-0.1761,4.2371,106.875,0,39.4,35.5,38.8,0,39.8,167.4314,0,-0.6529,-0.8235,-0.9961,-4.0824,9.2961,1.2,10.4569,-0.5255,1.449,-18.542,0.034,1,0,0,0,-0.2794,0,0,0,-0.2548,167,10.2484,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.039,-1.99,2.5316,17754.9551,0,0,355999.9688,74.5,24,163,36,12,14.6817,4.0183,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0.4829
0.35,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2812,11.384,0,12.1703,-3.5488,9.6187,-2.802,-0.0086,-0.0321,-0.9944,1.6127,-0.2683,3.8112,106.25,0,39.4,35.5,38.8,0,39.8,167.9216,0,0.0824,0.0588,-0.3098,-8.4941,8.6098,1.2,10.4078,0.0137,0.0275,-18.542,0.034,1,0,0,0,-0.0343,0,0,0,0.2452,167.0645,10.4,0,0,1,0,0,0,0,0,0,0,0,0,0,5.24,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.109,-2.09,2.114,17688.0605,0,0,355999.9688,74.5,24,163,36,12,14.7,4.0596,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0.5634
0.4,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2812,11.384,0,12.1547,-3.5379,9.6094,-2.8121,-0.0141,-0.0336,-0.9961,1.4807,-0.2031,3.3506,105.6875,0,39.4,35.5,38.8,0,39.8,168,0,0.9824,0.9,0.5412,-9.2,5.0824,1.2,10.4412,-1.1765,-0.1176,-18.542,0.034,1,0,0,0,-0.6324,0,0,0,0.9978,168.1398,10.4,0,0,1,0,0,0,0,0,0,0,0,0,0,5.2478,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.1406,-2.12,1.6395,17611.5312,0,0,355999.9688,74.5,24,163,36,12,14.7,4.1558,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0.6439
0.45,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2812,11.384,0,12.1453,-3.5348,9.6031,-2.8164,-0.0134,-0.03,-0.9961,1.4873,-0.2358,2.967,105.1667,0,39.4,35.5,38.8,0,39.8,168,0,1.9137,1.7333,1.4235,-9.2,1.0137,1.2,10.4902,-2.6961,-0.0196,-18.542,0.034,1,0,0,0,-1.3676,0,0,0,1.3742,168.8925,10.4108,0,0,1,0,0,0,0,0,0,0,0,0,0,5.2757,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.1558,-2.12,1.6673,17558.666,0,0,355999.9688,74.5,24,163,36,12,14.7,4.2,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0.7243
0.5,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2786,11.384,0,12.175,-3.5332,9.5641,-2.8113,-0.0144,-0.0301,-0.9961,1.4928,-0.1876,2.5212,104.6458,0,39.4,35.5,38.8,0,39.8,166.8235,0,1.0412,1.0373,0.8549,-5.749,-3.1725,1.2,10.5,-1.5882,-0.2745,-18.542,0.034,1,0,0,0,-0.7765,0,0,0,0.2452,168.3548,10.4645,0,0,1,0,0,0,0,0,0,0,0,0,0,5.3107,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.16,-2.1092,1.7054,17506.2852,0,0,355999.9688,74.5,24,163,36,12,14.7,4.2,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0.8048
0.55,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2656,11.384,0,12.1687,-3.5367,9.5766,-2.8086,-0.0166,-0.034,-0.9973,1.4138,-0.025,2.0603,104.125,0,39.4,35.5,38.8,0,39.8,165.3529,0,-0.2824,-0.0412,-0.0765,-1.4353,-7.3882,1.2,10.5,0.1765,-0.6176,-18.542,0.034,1,0,0,0,0.1059,0,0,0,-0.4817,167.6344,10.4452,0,0,1,0,0,0,0,0,0,0,0,0,0,5.3624,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.16,-2.0942,1.8567,17554.4766,0,0,355999.9688,74.5,24,163,36,12,14.7,4.1779,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0.8853
0.6,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2526,11.384,0,12.1625,-3.5316,9.5781,-2.8078,-0.012,-0.0349,-0.9937,1.32,-0.0577,1.6299,103.6042,0,39.4,35.5,38.8,0,39.8,164.6275,0,-1.1216,-0.8961,-1.0824,3.251,-8.4745,1.1627,10.3882,-0.5922,-1.7804,-18.542,0.034,1,0,0,0,-0.3118,0,0,0,-0.428,166.5591,10.2839,0,0,1,0,0,0,0,0,0,0,0,0,0,5.3829,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.16,-2.0978,2.0233,17616.3809,0,0,355999.9688,74.5,24,163,36,12,14.7,4.1298,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,0.9658
0.65,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.25,11.384,0,12.1797,-3.4719,9.5891,-2.8121,-0.0083,-0.0342,-0.9905,1.2223,-0.1261,1.2004,102.9792,0,39.4,35.5,38.8,0,39.8,164.1373,0,-1.8078,-1.6804,-2.1118,8.0549,-8.5725,1.1137,10.2412,-2.1608,-3.202,-18.542,0.034,1,0,0,0,-1.0961,0,0,0,-0.3742,165.4839,10.2,0,0,1,0,0,0,0,0,0,0,0,0,0,5.3307,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.16,-2.1086,1.982,17652.2852,0,0,355999.9688,74.5,24,163,36,12,14.6817,4.1,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,1.0463
0.7,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.25,11.384,0,12.1922,-3.5426,9.5813,-2.7977,-0.0122,-0.0303,-0.9966,1.1505,-0.0605,0.7875,102.3281,0,39.4,35.5,38.8,0,39.8,164.7059,0,-0.9059,-0.8412,-1.0588,8.7647,-4.7882,1.1353,10.2,-0.8353,-2.6824,-18.542,0.034,1,0,0,0,-0.3931,0,0,0,-0.3204,164.4086,10.2,0,0,1,0,0,0,0,0,0,0,0,0,0,5.3208,2.947,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.16,-2.1194,1.882,17680.8574,0,0,355999.9688,74.5,24,163,36,12,14.6337,4.1,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,1.1268
0.75,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.25,11.3827,0,12.1703,-3.5242,9.575,-2.8074,-0.0132,-0.0229,-0.9971,1.084,0.0198,0.5159,101.6458,0,39.4,35.5,38.8,0,39.8,165.6863,0,0.6137,0.6294,0.8039,7.8824,0.5059,1.1843,10.2,1.6157,-1.4078,-18.542,0.034,1,0,0,0,0.8324,0,0,0,-0.2333,164.3333,10.1333,0,0,1,0,0,0,0,0,0,0,0,0,0,5.4009,2.9992,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.16,-2.1058,1.7334,17625.2383,0.024,0,355999.9688,74.5,24,163,36,12,14.6144,4.1,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,1.2072
0.8,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.25,11.3793,0,12.1703,-3.5312,9.55,-2.7488,-0.0096,-0.0177,-0.9854,1.0985,0.0088,0.2976,100.9167,0,39.4,35.5,38.8,0,39.8,165.3333,0,0.8,0.8,0.9333,3.7333,5.1333,1.1667,10.2333,1.6333,-0.8,-18.542,0.034,1,0,0,0,0.7882,0,0,0,-0.1258,164.871,10.0258,0,0,1,0,0,0,0,0,0,0,0,0,0,5.4697,3.0827,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.16,-2.0906,1.562,17530,0.0739,0,355999.9688,74.5,24,163,36,12,14.6625,4.1,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,1.2877
0.85,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.25,11.376,0,12.175,-3.5344,9.525,-2.8262,-0.016,-0.023,-0.9854,1.27,0.0157,-0.0386,100.1875,0,39.4,35.5,38.8,0,39.8,164.3529,0,0.3588,0.3588,0.2471,-1.9529,9.4471,1.1176,10.2824,0.5059,-0.5059,-18.542,0.034,1,0,0,0,0.2,0,0,0,-0.1817,164.1828,10.0817,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5167,3.2269,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.1456,-2.0756,1.5283,17525.5664,0.1238,0,355999.9688,74.5,24,163,36,12,14.7106,4.1106,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,1.3682
0.9,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.25,11.376,0,12.1656,-3.5082,9.5188,-2.8219,-0.024,-0.0312,-1,1.404,0.0356,-0.3433,99.4583,0,39.4,35.5,38.8,0,39.8,164.3137,0,-0.0196,-0.0196,-0.251,-6.0078,8.2392,1.1,10.2686,1.1039,0.1333,-18.542,0.034,1,0,0,0,0.55,0,0,0,-0.2892,163.1075,10.1892,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5723,3.3543,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.1306,-2.0606,1.5943,17586.8867,0.1737,0,355999.9688,74.5,24,163,36,12,14.7587,4.1587,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,1.4487
0.95,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.25,11.376,0,12.1672,-3.482,9.5578,-2.8133,-0.0225,-0.0267,-0.9946,1.4192,-0.1044,-0.5352,98.7292,0,39.4,35.5,38.8,0,39.8,164.8039,0,-0.3627,-0.3627,-0.6431,-9.1451,3.9255,1.1,10.2196,2.6725,0.9667,-18.542,0.034,1,0,0,0,1.3833,0,0,0,0.2806,162.0323,10.2,0,0,1,0,0,0,0,0,0,0,0,0,0,5.6802,3.3786,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.13,-2.06,1.5993,17595.9043,0.2236,0,355999.9688,74.5,24,163,36,12,14.7933,4.1933,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,1.5292
1,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2422,11.376,0,12.1875,-3.4961,9.5469,-2.8137,-0.0272,-0.0289,-0.9897,1.3865,-0.3475,-0.7908,97.9844,0,39.4036,35.4964,38.8,0,39.8074,163.5294,0,-0.5882,-0.5882,-0.6235,-6.1941,-1.5059,1.1,10.1412,2.4471,0.6235,-18.542,0.034,1,0,0,0,1.2441,0,0,0,0.8806,160.9355,10.1935,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7748,3.3952,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.13,-2.06,1.5327,17543.5234,0.2735,0,355999.9688,74.5,24,163,36,12,14.7452,4.1452,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,1.6097
1.05,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2292,11.376,0,12.1641,-3.5047,9.525,-2.8285,-0.04,-0.0312,-1.0015,1.3339,-0.3962,-0.9837,97.2292,0,39.4086,35.4914,38.8,0,39.8174,161.0784,0,-0.7353,-0.7353,-0.3294,0.8157,-7.6824,1.1,10.0431,1.0255,-0.5039,-18.542,0.034,1,0,0,0,0.5088,0,0,0,0.3968,159.3226,10.0323,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7989,3.3711,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.13,-2.0404,1.563,17542.2637,0.3234,0,355999.9688,74.5,24,163,36,12,14.7,4.1029,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,1.6901
1.1,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2188,11.376,0,12.1891,-3.5023,9.5141,-2.8133,-0.0376,-0.0237,-0.9917,1.1807,-0.3653,-1.0493,96.4844,0,39.4136,35.4864,38.8,0,39.8273,159.451,0,-0.1412,-0.0039,0.4314,4.2569,-6.6392,1.1,10,1.2235,-1.2196,-18.542,0.034,1,0,0,0,0.6265,0,0,0,0.0097,157.7097,9.9194,0,0,1,0,0,0,0,0,0,0,0,0,0,5.8153,3.3547,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.13,-2.0204,1.7658,17631.8867,0.3733,0,355999.9688,74.5,24,163,36,12,14.7,4.151,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,1.7706
1.15,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2188,11.376,0,12.1578,-3.4973,9.5437,-2.8051,-0.0313,-0.024,-0.9836,1.166,-0.3859,-1.1869,95.7812,0,39.4186,35.4814,38.8,0,39.8373,158.4706,0,1.0353,1.4176,1.5588,4.8941,0.0765,1.1,10,2.6941,-1.6118,-18.542,0.034,1,0,0,0,1.3618,0,0,0,0.0634,156.0968,10.0269,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7909,3.3791,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.1102,-2.02,1.92,17681.8867,0.4232,0,355999.9688,74.5,24,163,36,12,14.7,4.199,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,1.8511
1.2,3.6007,3,0,0,0.03,-45.7628,0,319.2687,200,1.82,10000,40.84882631,-80.34538258,41.2188,11.376,0,12.1594,-3.5145,9.5203,-2.8363,-0.0298,-0.0284,-0.9985,1.1712,-0.2751,-1.2327,95.0781,0,39.4236,35.4764,38.8,0,39.8473,156.7255,0,1.549,1.8196,1.9216,1.5294,2.9176,1.0745,9.898,1.7941,-1.5451,-18.542,0.034,1,0,0,0,1.25,0,0,0,0.0312,154.6559,10.014,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7659,3.3991,0,0,0,0,0,0,0,0,0,0,0,0,35.0625,0,0,0,-2.09,-2.02,1.92,17606.416,0.4731,0,355999.9688,74.5,24,163,36,12,14.6529,4.1529,1,0,0,8.0545,3,0,0,0.03,-45.7628,0,319.2687,7187100,10000,40.8488,-80.3454,1.9316
